"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @AtishiMarlena: Maybe @Gupta_vijender should focus his energy on improving dilapidated MCD schools in Delhi, rather than misrepresenting…",FALSE,0,NA,2017-11-28 17:31:34,FALSE,NA,"935561818939867136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akmore2000",265,TRUE,FALSE,NA,NA
"RT @funnymonkey: Uber compromised the personal information of 57 million people - users and drivers. Then, they lied about it, and paid the…",FALSE,0,NA,2017-11-21 23:05:34,FALSE,NA,"933109160618622976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","CognoscoCuro",14,TRUE,FALSE,NA,NA
"RT @ukhesa: From 1 January 2018 a dedicated version of the #HeidiPlus higher education data exploration and visualisation tool will be avai…",FALSE,0,NA,2017-11-28 17:03:49,FALSE,NA,"935554838653554688",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","malindalygo",5,TRUE,FALSE,NA,NA
"RT @mjamme: Anti-poverty group misleads with patchwork of data on women’s education in #Africa cc @Accur8Africa #DataScience  https://t.co/…",FALSE,0,NA,2017-11-28 16:50:43,FALSE,NA,"935551540710072322",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Accur8Africa",8,TRUE,FALSE,NA,NA
"RT @miotei: This says so much. Youth not in employment, education or training (NEET): #ITA 26%; #SPA 22%; #FRA 17%; #POR 16%; #USA 14%; #UK…",FALSE,0,NA,2017-11-21 23:09:01,FALSE,NA,"933110026633404418",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Steinbergf",41,TRUE,FALSE,NA,NA
"After the Equifax data breach, lawmakers have some ideas to make things better for consumers.… https://t.co/QAWPMaa0JX",FALSE,2,NA,2017-11-28 21:52:38,TRUE,NA,"935627519616839680",NA,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","LifeLock",2,FALSE,FALSE,NA,NA
"RT @Fisher85M: Hadoop in the Enterprise {Infographic}

#BigData #education #Hadoop #smm #SME #Analytics #DataScience #cloud #data #IoT #fin…",FALSE,0,NA,2017-11-28 19:38:28,FALSE,NA,"935593757436710914",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wlnstonelam",49,TRUE,FALSE,NA,NA
"Check out this great video for education | school data projection https://t.co/OV1Q9ijkXr",FALSE,0,NA,2017-11-21 23:11:21,FALSE,NA,"933110614125289472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yeatesit",0,FALSE,FALSE,NA,NA
"RT @DrChrisHubbuch: The State Board of Education should make evidence-based decisions about public education in Missouri. Data supports the…",FALSE,0,NA,2017-11-21 23:11:34,FALSE,NA,"933110670647799808",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Lyle_Best",29,TRUE,FALSE,NA,NA
"RT @kierisi: I've spent the last few days wrangling some unruly TX education data, and wanted to share both the code and my reflections!

h…",FALSE,0,NA,2017-11-28 17:57:35,FALSE,NA,"935568367473315841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","drob",27,TRUE,FALSE,NA,NA
"i just been doing direct education work n now im out here doing research / data analysis so i gotta first read all… https://t.co/2wgUJ6pdwp",FALSE,0,NA,2017-11-21 23:13:53,TRUE,NA,"933111252003491840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mexigurl4vr",0,FALSE,FALSE,NA,NA
"RT @EvisionsInc: Making use of data can be difficult, but #Evisions has put together some ideas for your insitution to consider. Check out…",FALSE,0,NA,2017-11-21 23:17:56,FALSE,NA,"933112272926445568",NA,"<a href=""https://www.CMdatascoop.com"" rel=""nofollow"">CMdatascoop</a>","CMdatascoop",1,TRUE,FALSE,NA,NA
"RT @miotei: This says so much. Youth not in employment, education or training (NEET): #ITA 26%; #SPA 22%; #FRA 17%; #POR 16%; #USA 14%; #UK…",FALSE,0,NA,2017-11-21 23:24:36,FALSE,NA,"933113946936086528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","randomuser65398",41,TRUE,FALSE,NA,NA
"RT @miotei: This says so much. Youth not in employment, education or training (NEET): #ITA 26%; #SPA 22%; #FRA 17%; #POR 16%; #USA 14%; #UK…",FALSE,0,NA,2017-11-21 23:24:36,FALSE,NA,"933113947124666368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","randomuser65398",41,TRUE,FALSE,NA,NA
